TradeDate,Expiry,ATM,Entry_Straddle,Entry_Wings,Net_Entry,Exit_Value,PnL,ExitReason,Capital
2017-06-29,2017-06-29,23400,122.30000000000001,2.8499999999999996,119.45000000000002,155.29999999999998,-35.849999999999966,STOP_LOSS,999735.9499999998
2017-07-06,2017-07-06,23500,96.75,0.5,96.25,18.55,77.7,TARGET,999813.6499999998
2017-07-13,2017-07-13,23900,87.4,0.7,86.7,9.600000000000001,77.1,TARGET,999890.7499999998
2017-07-20,2017-07-20,24200,83.2,0.3,82.9,7.75,75.15,TARGET,999965.8999999998
2017-08-03,2017-08-03,24900,108.5,1.1,107.4,149.54999999999998,-42.14999999999998,STOP_LOSS,999923.7499999998
2017-08-10,2017-08-10,24300,120.05000000000001,1.4,118.65,164.10000000000002,-45.45000000000002,STOP_LOSS,999878.2999999998
2017-08-16,2017-08-17,24100,209.4,13.65,195.75,276.04999999999995,-80.29999999999995,STOP_LOSS,999797.9999999998
2017-08-17,2017-08-17,24400,115.95,1.15,114.8,149.45,-34.64999999999999,STOP_LOSS,999763.3499999997
2017-08-24,2017-08-24,24300,111.35,1.5999999999999999,109.75,20.7,89.05,TARGET,999852.3999999998
2017-08-31,2017-08-31,24300,123.15,1.5,121.65,21.3,100.35000000000001,TARGET,999952.7499999998
2017-09-04,2017-09-07,24400,268.4,29.25,239.14999999999998,279.09999999999997,-39.94999999999999,STOP_LOSS,999912.7999999998
2017-09-07,2017-09-07,24400,77.0,0.4,76.6,67.2,9.399999999999991,EXPIRY,999922.1999999998
2017-09-14,2017-09-14,25000,92.35,0.65,91.69999999999999,137.4,-45.70000000000002,STOP_LOSS,999876.4999999999
2017-09-21,2017-09-21,24900,121.55,1.9,119.64999999999999,83.9,35.749999999999986,EXPIRY,999912.2499999999
2017-09-27,2017-09-28,24100,211.2,18.7,192.5,251.20000000000002,-58.70000000000002,STOP_LOSS,999853.5499999999
2017-09-28,2017-09-28,23900,114.5,3.75,110.75,155.6,-44.849999999999994,STOP_LOSS,999808.7
2017-10-05,2017-10-05,24200,98.30000000000001,0.75,97.55000000000001,127.75000000000001,-30.200000000000003,STOP_LOSS,999778.5
2017-10-11,2017-10-12,24500,142.25,3.5999999999999996,138.65,180.95000000000002,-42.30000000000001,STOP_LOSS,999736.2
2017-10-12,2017-10-12,24100,86.85,0.5,86.35,141.8,-55.45000000000002,STOP_LOSS,999680.75
2017-10-16,2017-10-18,24800,244.55,26.65,217.9,270.75000000000006,-52.85000000000005,STOP_LOSS,999627.9
2017-10-18,2017-10-18,24500,173.04999999999998,1.9,171.14999999999998,184.95000000000002,-13.80000000000004,EXPIRY,999614.1
2017-10-25,2017-10-26,24700,236.7,18.95,217.75,270.05,-52.30000000000001,STOP_LOSS,999561.7999999999
